学号,姓名,性别,出生日期,政治面貌,家庭住址,电话,宿舍号
201521123001,彭子昂,男,1996-10-12,共青团员,浙江省宁波市宁海县,13350054936,5#101
201521123002,乔传军,男,1996-11-09,共青团员,安徽省 安庆市 安庆市,18937482839,5#701
201521123003,单传军,男,1995-04-07,共产党员,江苏省 南京市,17638929301,5#402 
201521123004,雍猛飞,男,1998-05-23,共产党员,广西壮族自治区,13594760375,5#102  
201521123005,江陆涛,女,1992-01-01,共产党员,新疆维吾尔自治区 和田地区 墨玉县,17393048573,5#215 
201521123006,柏念雁,女,1994-11-11,共青团员,辽宁省 鞍山市 岫岩满族自治县,174654930588,5#406
201521123007,凤振,男,1987-04-04,共青团员,广西壮族自治区 防城港市 防城港市,17385934738,5#219
201521123008,井若薇,女,1989-05-17,政治清白,安徽省 淮南市 市辖区,13849503759,5#402 
201521123009,奚靖,男,1991-02-09,共青团员,河南省 鹤壁市 鹤山区,18384737592,5#606 
201521123010,平仁霞,女,1990-11-01,政治清白,河南省 平顶山市 郏县,17489940285,5#311 
201521123011,丰功成,男,1979-03-05,共青团员,江苏省 无锡市 南长区,13475839574,5#511 
201521123012,明涵蕾,女,1996-12-01,共产党员,湖南省 怀化市 新晃侗族自治县,14785936937,5#512 
201521123013,云民,男,1997-02-02,共产党员,河南省 商丘市 柘城县,16375937306,5#513 
201521123014,欧奕,男,2000-04-11,共青团员,江西省 南昌市,13547295739,5#711
201521123015,蓝山兰,女,1997-11-11,政治清白,福建省 福州市,15793759373,5#416 
201521123016,刘碧蓉,女,1997-01-23,共青团员,湖南省 岳阳市 岳阳县,14896855047,5#402
201521123017,刁贞国,男,1997-09-09,共产党员,四川省 宜宾市 珙县,16367472743,5#111 
201521123018,储昕雁,女,1996-08-28,共产党员,安徽省 阜阳市 颍泉区,13796490487,5#602 
201521123019,雍寒,女,1998-10-10,政治清白,河北省 秦皇岛市 海港区,16839485064,5#512 
201521123020,骆谷槐,女,1997-10-21,共青团员,河北省 保定市 博野县,12485938568,5#520 
201521123021,管红娜,女,1995-02-01,共青团员,甘肃省 天水市 武山县,17583748593,5#419 
201521123022,闻隆,男,1997-10-01,共青团员,广西壮族自治区 桂林市 阳朔县,14345463859,5#404 
201521123023,雷晴,男,1997-07-17,共青团员,福建省 福州市 闽侯县,13748589674,5#321 
201521123024,鲍晓乐,男,1996-05-09,共青团员,西藏自治区 拉萨市 林周县,13675485960,5#324 
201521123025,魏翻瑶,女,1996-04-01,政治清白,福建省 厦门市 同安区,14759605847,5#308 
201521123026,怀曼青,女,1996-02-20,共青团员,广东省 茂名市 化州市,13463748476,5#715 
201521123027,裘政宇,男,1998-03-03,共产党员,福建省 ,17433857974,5#506
201521123028,贺星嘉,男,1997-05-05,共青团员,云南省 玉溪市 华宁县,17334793575,5#123 
201521123029,穆佳一,女,1996-08-09,政治清白,湖北省 武汉市 乔口区,17834795483,5#403 
201521123030,管营泽,男,1997-05-01,共青团员,广东省 江门市 台山市,17392745783,5#502 
